rule,cpus,weight
_setup_subRun1,16.0,1.0
_setup_subRun2,16.0,1.0
_setup_subRun3,16.0,1.0
_setup_subRun4,16.0,1.0
modify_ini_conditions_subRun1,16.0,1.0
modify_ini_conditions_subRun2,16.0,1.0
modify_ini_conditions_subRun3,16.0,1.0
modify_ini_conditions_subRun4,16.0,1.0
post_model_solution1_hds_subRun1,16.0,1.0
post_model_solution1_hds_subRun2,16.0,1.0
post_model_solution1_hds_subRun3,16.0,1.0
post_model_solution1_hds_subRun4,16.0,1.0
post_model_solution1_wtd_subRun1,16.0,1.0
post_model_solution1_wtd_subRun2,16.0,1.0
post_model_solution1_wtd_subRun3,16.0,1.0
post_model_solution1_wtd_subRun4,16.0,1.0
post_model_solution2_hds_subRun1,16.0,1.0
post_model_solution2_hds_subRun2,16.0,1.0
post_model_solution2_hds_subRun3,16.0,1.0
post_model_solution2_hds_subRun4,16.0,1.0
post_model_solution2_wtd_subRun1,16.0,1.0
post_model_solution2_wtd_subRun2,16.0,1.0
post_model_solution2_wtd_subRun3,16.0,1.0
post_model_solution2_wtd_subRun4,16.0,1.0
post_model_solution3_hds_subRun1,16.0,1.0
post_model_solution3_hds_subRun2,16.0,1.0
post_model_solution3_hds_subRun3,16.0,1.0
post_model_solution3_hds_subRun4,16.0,1.0
post_model_solution3_wtd_subRun1,16.0,1.0
post_model_solution3_wtd_subRun2,16.0,1.0
post_model_solution3_wtd_subRun3,16.0,1.0
post_model_solution3_wtd_subRun4,16.0,1.0
post_model_solution4_hds_subRun1,32.0,1.0
post_model_solution4_hds_subRun2,32.0,1.0
post_model_solution4_hds_subRun3,32.0,1.0
post_model_solution4_hds_subRun4,32.0,1.0
post_model_solution4_wtd_subRun1,32.0,1.0
post_model_solution4_wtd_subRun2,32.0,1.0
post_model_solution4_wtd_subRun3,32.0,1.0
post_model_solution4_wtd_subRun4,32.0,1.0
prepare_model_partitioning,16.0,1.0
run_model_solution1_subRun1,1372.0,1.0
run_model_solution1_subRun2,1372.0,1.0
run_model_solution1_subRun3,1372.0,1.0
run_model_solution1_subRun4,1372.0,1.0
run_model_solution2_subRun1,576.0,1.0
run_model_solution2_subRun2,576.0,1.0
run_model_solution2_subRun3,576.0,1.0
run_model_solution2_subRun4,576.0,1.0
run_model_solution3_subRun1,192.0,1.0
run_model_solution3_subRun2,192.0,1.0
run_model_solution3_subRun3,192.0,1.0
run_model_solution3_subRun4,192.0,1.0
run_model_solution4_subRun1,192.0,1.0
run_model_solution4_subRun2,192.0,1.0
run_model_solution4_subRun3,192.0,1.0
run_model_solution4_subRun4,192.0,1.0
setup_output,16.0,1.0
setup_simulation,16.0,1.0
write_model_forcing_setup,16.0,1.0
write_model_forcing_sub1,192.0,1.5
write_model_forcing_sub2,192.0,1.5
write_models_solution1_subRun1,192.0,1.5
write_models_solution1_subRun2,192.0,1.5
write_models_solution1_subRun3,192.0,1.5
write_models_solution1_subRun4,192.0,1.5
write_models_solution2_subRun1,192.0,1.5
write_models_solution2_subRun2,192.0,1.5
write_models_solution2_subRun3,192.0,1.5
write_models_solution2_subRun4,192.0,1.5
write_models_solution3_subRun1,192.0,1.5
write_models_solution3_subRun2,192.0,1.5
write_models_solution3_subRun3,192.0,1.5
write_models_solution3_subRun4,192.0,1.5
write_models_solution4_subRun1,192.0,1.5
write_models_solution4_subRun2,192.0,1.5
write_models_solution4_subRun3,192.0,1.5
write_models_solution4_subRun4,192.0,1.5
